D3C,NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N
2002-01-01,2,Grande Região,24,Cabeças,30428813.0,1,Norte,105,Efetivo dos rebanhos,2002-01-01,2002-01-01,2670,Bovino
2003-01-01,2,Grande Região,24,Cabeças,33929590.0,1,Norte,105,Efetivo dos rebanhos,2003-01-01,2003-01-01,2670,Bovino
2004-01-01,2,Grande Região,24,Cabeças,39787138.0,1,Norte,105,Efetivo dos rebanhos,2004-01-01,2004-01-01,2670,Bovino
2005-01-01,2,Grande Região,24,Cabeças,41489002.0,1,Norte,105,Efetivo dos rebanhos,2005-01-01,2005-01-01,2670,Bovino
2006-01-01,2,Grande Região,24,Cabeças,41060384.0,1,Norte,105,Efetivo dos rebanhos,2006-01-01,2006-01-01,2670,Bovino
2007-01-01,2,Grande Região,24,Cabeças,37865772.0,1,Norte,105,Efetivo dos rebanhos,2007-01-01,2007-01-01,2670,Bovino
2008-01-01,2,Grande Região,24,Cabeças,39119455.0,1,Norte,105,Efetivo dos rebanhos,2008-01-01,2008-01-01,2670,Bovino
2009-01-01,2,Grande Região,24,Cabeças,40437159.0,1,Norte,105,Efetivo dos rebanhos,2009-01-01,2009-01-01,2670,Bovino
2010-01-01,2,Grande Região,24,Cabeças,42100695.0,1,Norte,105,Efetivo dos rebanhos,2010-01-01,2010-01-01,2670,Bovino
2011-01-01,2,Grande Região,24,Cabeças,43238310.0,1,Norte,105,Efetivo dos rebanhos,2011-01-01,2011-01-01,2670,Bovino
2012-01-01,2,Grande Região,24,Cabeças,43815346.0,1,Norte,105,Efetivo dos rebanhos,2012-01-01,2012-01-01,2670,Bovino
2013-01-01,2,Grande Região,24,Cabeças,44705617.0,1,Norte,105,Efetivo dos rebanhos,2013-01-01,2013-01-01,2670,Bovino
2014-01-01,2,Grande Região,24,Cabeças,45826142.0,1,Norte,105,Efetivo dos rebanhos,2014-01-01,2014-01-01,2670,Bovino
2015-01-01,2,Grande Região,24,Cabeças,47175989.0,1,Norte,105,Efetivo dos rebanhos,2015-01-01,2015-01-01,2670,Bovino
2016-01-01,2,Grande Região,24,Cabeças,47983190.0,1,Norte,105,Efetivo dos rebanhos,2016-01-01,2016-01-01,2670,Bovino
2017-01-01,2,Grande Região,24,Cabeças,48508063.0,1,Norte,105,Efetivo dos rebanhos,2017-01-01,2017-01-01,2670,Bovino
2018-01-01,2,Grande Região,24,Cabeças,48900788.0,1,Norte,105,Efetivo dos rebanhos,2018-01-01,2018-01-01,2670,Bovino
2019-01-01,2,Grande Região,24,Cabeças,49682199.0,1,Norte,105,Efetivo dos rebanhos,2019-01-01,2019-01-01,2670,Bovino
2020-01-01,2,Grande Região,24,Cabeças,52586264.0,1,Norte,105,Efetivo dos rebanhos,2020-01-01,2020-01-01,2670,Bovino
2021-01-01,2,Grande Região,24,Cabeças,55727449.0,1,Norte,105,Efetivo dos rebanhos,2021-01-01,2021-01-01,2670,Bovino
1974-01-01,2,Grande Região,24,Cabeças,16244000.0,2,Nordeste,105,Efetivo dos rebanhos,1974-01-01,1974-01-01,2670,Bovino
1975-01-01,2,Grande Região,24,Cabeças,18296797.0,2,Nordeste,105,Efetivo dos rebanhos,1975-01-01,1975-01-01,2670,Bovino
1976-01-01,2,Grande Região,24,Cabeças,19229147.0,2,Nordeste,105,Efetivo dos rebanhos,1976-01-01,1976-01-01,2670,Bovino
1977-01-01,2,Grande Região,24,Cabeças,19574816.0,2,Nordeste,105,Efetivo dos rebanhos,1977-01-01,1977-01-01,2670,Bovino
1978-01-01,2,Grande Região,24,Cabeças,20005028.0,2,Nordeste,105,Efetivo dos rebanhos,1978-01-01,1978-01-01,2670,Bovino
1979-01-01,2,Grande Região,24,Cabeças,20512853.0,2,Nordeste,105,Efetivo dos rebanhos,1979-01-01,1979-01-01,2670,Bovino
1980-01-01,2,Grande Região,24,Cabeças,21875798.0,2,Nordeste,105,Efetivo dos rebanhos,1980-01-01,1980-01-01,2670,Bovino
1981-01-01,2,Grande Região,24,Cabeças,22136018.0,2,Nordeste,105,Efetivo dos rebanhos,1981-01-01,1981-01-01,2670,Bovino
1982-01-01,2,Grande Região,24,Cabeças,22112521.0,2,Nordeste,105,Efetivo dos rebanhos,1982-01-01,1982-01-01,2670,Bovino
1983-01-01,2,Grande Região,24,Cabeças,20605323.0,2,Nordeste,105,Efetivo dos rebanhos,1983-01-01,1983-01-01,2670,Bovino
1984-01-01,2,Grande Região,24,Cabeças,21692937.0,2,Nordeste,105,Efetivo dos rebanhos,1984-01-01,1984-01-01,2670,Bovino
1985-01-01,2,Grande Região,24,Cabeças,23014947.0,2,Nordeste,105,Efetivo dos rebanhos,1985-01-01,1985-01-01,2670,Bovino
1986-01-01,2,Grande Região,24,Cabeças,23736271.0,2,Nordeste,105,Efetivo dos rebanhos,1986-01-01,1986-01-01,2670,Bovino
1987-01-01,2,Grande Região,24,Cabeças,24008252.0,2,Nordeste,105,Efetivo dos rebanhos,1987-01-01,1987-01-01,2670,Bovino
1988-01-01,2,Grande Região,24,Cabeças,24897021.0,2,Nordeste,105,Efetivo dos rebanhos,1988-01-01,1988-01-01,2670,Bovino
1989-01-01,2,Grande Região,24,Cabeças,25955266.0,2,Nordeste,105,Efetivo dos rebanhos,1989-01-01,1989-01-01,2670,Bovino
1990-01-01,2,Grande Região,24,Cabeças,26190283.0,2,Nordeste,105,Efetivo dos rebanhos,1990-01-01,1990-01-01,2670,Bovino
1991-01-01,2,Grande Região,24,Cabeças,26668890.0,2,Nordeste,105,Efetivo dos rebanhos,1991-01-01,1991-01-01,2670,Bovino
1992-01-01,2,Grande Região,24,Cabeças,26911981.0,2,Nordeste,105,Efetivo dos rebanhos,1992-01-01,1992-01-01,2670,Bovino
1993-01-01,2,Grande Região,24,Cabeças,22527240.0,2,Nordeste,105,Efetivo dos rebanhos,1993-01-01,1993-01-01,2670,Bovino
1994-01-01,2,Grande Região,24,Cabeças,22824686.0,2,Nordeste,105,Efetivo dos rebanhos,1994-01-01,1994-01-01,2670,Bovino
1995-01-01,2,Grande Região,24,Cabeças,23173936.0,2,Nordeste,105,Efetivo dos rebanhos,1995-01-01,1995-01-01,2670,Bovino
1996-01-01,2,Grande Região,24,Cabeças,23882203.0,2,Nordeste,105,Efetivo dos rebanhos,1996-01-01,1996-01-01,2670,Bovino
1997-01-01,2,Grande Região,24,Cabeças,23830908.0,2,Nordeste,105,Efetivo dos rebanhos,1997-01-01,1997-01-01,2670,Bovino
1998-01-01,2,Grande Região,24,Cabeças,21980699.0,2,Nordeste,105,Efetivo dos rebanhos,1998-01-01,1998-01-01,2670,Bovino
1999-01-01,2,Grande Região,24,Cabeças,21875110.0,2,Nordeste,105,Efetivo dos rebanhos,1999-01-01,1999-01-01,2670,Bovino
2000-01-01,2,Grande Região,24,Cabeças,22566644.0,2,Nordeste,105,Efetivo dos rebanhos,2000-01-01,2000-01-01,2670,Bovino
2001-01-01,2,Grande Região,24,Cabeças,23414017.0,2,Nordeste,105,Efetivo dos rebanhos,2001-01-01,2001-01-01,2670,Bovino
2002-01-01,2,Grande Região,24,Cabeças,23892180.0,2,Nordeste,105,Efetivo dos rebanhos,2002-01-01,2002-01-01,2670,Bovino
2003-01-01,2,Grande Região,24,Cabeças,24992158.0,2,Nordeste,105,Efetivo dos rebanhos,2003-01-01,2003-01-01,2670,Bovino
2004-01-01,2,Grande Região,24,Cabeças,25966460.0,2,Nordeste,105,Efetivo dos rebanhos,2004-01-01,2004-01-01,2670,Bovino
2005-01-01,2,Grande Região,24,Cabeças,26969286.0,2,Nordeste,105,Efetivo dos rebanhos,2005-01-01,2005-01-01,2670,Bovino
2006-01-01,2,Grande Região,24,Cabeças,27881219.0,2,Nordeste,105,Efetivo dos rebanhos,2006-01-01,2006-01-01,2670,Bovino
2007-01-01,2,Grande Região,24,Cabeças,28711240.0,2,Nordeste,105,Efetivo dos rebanhos,2007-01-01,2007-01-01,2670,Bovino
2008-01-01,2,Grande Região,24,Cabeças,28851880.0,2,Nordeste,105,Efetivo dos rebanhos,2008-01-01,2008-01-01,2670,Bovino
2009-01-01,2,Grande Região,24,Cabeças,28289850.0,2,Nordeste,105,Efetivo dos rebanhos,2009-01-01,2009-01-01,2670,Bovino
2010-01-01,2,Grande Região,24,Cabeças,28762119.0,2,Nordeste,105,Efetivo dos rebanhos,2010-01-01,2010-01-01,2670,Bovino
2011-01-01,2,Grande Região,24,Cabeças,29585933.0,2,Nordeste,105,Efetivo dos rebanhos,2011-01-01,2011-01-01,2670,Bovino
2012-01-01,2,Grande Região,24,Cabeças,28244899.0,2,Nordeste,105,Efetivo dos rebanhos,2012-01-01,2012-01-01,2670,Bovino
2013-01-01,2,Grande Região,24,Cabeças,28958676.0,2,Nordeste,105,Efetivo dos rebanhos,2013-01-01,2013-01-01,2670,Bovino
2014-01-01,2,Grande Região,24,Cabeças,29350651.0,2,Nordeste,105,Efetivo dos rebanhos,2014-01-01,2014-01-01,2670,Bovino
2015-01-01,2,Grande Região,24,Cabeças,29092184.0,2,Nordeste,105,Efetivo dos rebanhos,2015-01-01,2015-01-01,2670,Bovino
2016-01-01,2,Grande Região,24,Cabeças,28393671.0,2,Nordeste,105,Efetivo dos rebanhos,2016-01-01,2016-01-01,2670,Bovino
2017-01-01,2,Grande Região,24,Cabeças,27791097.0,2,Nordeste,105,Efetivo dos rebanhos,2017-01-01,2017-01-01,2670,Bovino
2018-01-01,2,Grande Região,24,Cabeças,27837112.0,2,Nordeste,105,Efetivo dos rebanhos,2018-01-01,2018-01-01,2670,Bovino
2019-01-01,2,Grande Região,24,Cabeças,28596654.0,2,Nordeste,105,Efetivo dos rebanhos,2019-01-01,2019-01-01,2670,Bovino
2020-01-01,2,Grande Região,24,Cabeças,28606835.0,2,Nordeste,105,Efetivo dos rebanhos,2020-01-01,2020-01-01,2670,Bovino
2021-01-01,2,Grande Região,24,Cabeças,31316917.0,2,Nordeste,105,Efetivo dos rebanhos,2021-01-01,2021-01-01,2670,Bovino
1974-01-01,2,Grande Região,24,Cabeças,30386094.0,3,Sudeste,105,Efetivo dos rebanhos,1974-01-01,1974-01-01,2670,Bovino
1975-01-01,2,Grande Região,24,Cabeças,35586295.0,3,Sudeste,105,Efetivo dos rebanhos,1975-01-01,1975-01-01,2670,Bovino
1976-01-01,2,Grande Região,24,Cabeças,37073316.0,3,Sudeste,105,Efetivo dos rebanhos,1976-01-01,1976-01-01,2670,Bovino
1977-01-01,2,Grande Região,24,Cabeças,36308815.0,3,Sudeste,105,Efetivo dos rebanhos,1977-01-01,1977-01-01,2670,Bovino
1978-01-01,2,Grande Região,24,Cabeças,35516968.0,3,Sudeste,105,Efetivo dos rebanhos,1978-01-01,1978-01-01,2670,Bovino
1979-01-01,2,Grande Região,24,Cabeças,35115460.0,3,Sudeste,105,Efetivo dos rebanhos,1979-01-01,1979-01-01,2670,Bovino
1980-01-01,2,Grande Região,24,Cabeças,35125592.0,3,Sudeste,105,Efetivo dos rebanhos,1980-01-01,1980-01-01,2670,Bovino
